id|course_id|grade
16|3|10
16|3|9
16|3|9
16|3|9
16|3|9
16|3|6.5
16|3|8.5
16|8|18.5
16|8|10.5
16|8|11
16|4|11.8
16|4|9.4
16|4|11.6
16|4|13.8
16|4|12.6
16|4|18.6
16|4|16.5
16|9|13.25
16|9|13.5
16|9|7
16|2|8.4
16|2|12.7
16|2|17.1
16|2|6.4
16|2|13
16|2|12.1
16|2|13.9
16|2|10.6
16|2|14.1
16|7|14.5
16|7|15
16|7|15
16|7|14
16|7|12
16|7|15.5
16|7|13.5
16|10|9.75
16|10|11
16|10|10.5
16|10|7.5
16|10|8.75
16|1|6
16|1|8
16|1|10.5
16|1|7.5
16|1|10
16|1|9
16|1|10
16|1|7.5
16|5|14.25
16|5|3.75
16|5|6.25
16|5|7.25
16|5|9.5
16|6|8
16|6|8
16|6|10
16|6|8
16|6|11
16|6|12
22|3|9.5
22|3|8.5
22|3|10.5
22|3|8.5
22|3|11
22|3|8
22|8|13.5
22|8|16
22|8|14.5
22|4|15.6
22|4|14.9
22|4|15.4
22|4|13.6
22|4|17.7
22|4|15.8
22|4|17.7
22|4|13.1
22|9|7
22|9|7.5
22|9|10
22|2|11
22|2|10
22|2|9.4
22|2|16
22|2|14.8
22|2|15.9
22|2|12.3
22|2|15.4
22|2|11.6
22|7|16
22|7|14.5
22|7|12.5
22|7|15
22|7|13.5
22|7|14
22|7|14.5
22|10|9
22|10|11.75
22|10|10.5
22|10|5
22|10|9.25
22|1|8.5
22|1|8.5
22|1|9.5
22|1|_
22|1|8
22|1|9.5
22|5|6
22|5|6.75
22|5|7.75
22|5|13.5
22|5|9.5
22|6|10
22|6|10
22|6|13
22|6|11
22|6|6
22|6|8
51|3|7
51|3|9.5
51|3|6.5
51|3|9.5
51|3|8.5
51|3|9
51|3|9
51|8|12
51|8|12.5
51|8|9
51|4|16.9
51|4|12.8
51|4|15.2
51|4|13.4
51|4|9.5
51|4|12.7
51|4|15.1
51|4|11.8
51|9|7.75
51|9|13.5
51|9|12.75
51|2|10
51|2|12.2
51|2|12.6
51|2|_
51|2|12.5
51|2|11.6
51|2|7.8
51|7|16.5
51|7|15
51|7|14.5
51|7|15
51|7|15
51|7|15
51|7|12.5
51|10|10
51|10|5.25
51|10|5.25
51|10|9.25
51|10|11.5
51|1|9
51|1|10
51|1|9.5
51|1|9.5
51|1|11.5
51|1|10
51|1|6.5
51|1|12
51|5|11.5
51|5|8
51|5|7.75
51|5|5.75
51|5|15.25
51|6|10
51|6|10
51|6|12
51|6|9
51|6|13
53|3|9
53|3|9.5
53|3|9.5
53|3|11
53|3|10
53|3|8
53|3|8.5
53|8|15
53|8|3
53|8|18.5
53|4|14
53|4|16.9
53|4|15.3
53|4|17.7
53|4|14.3
53|4|17.3
53|4|12
53|4|14.5
53|9|6.75
53|9|9
53|2|15
53|2|10.1
53|2|10.3
53|2|16.8
53|2|13.7
53|2|11.6
53|2|12.9
53|2|7.5
53|7|13
53|7|12.5
53|7|15
53|7|14.5
53|7|14
53|7|14.5
53|7|_
53|10|9.75
53|10|10.75
53|10|8.75
53|10|10.5
53|10|12
53|1|9
53|1|9
53|1|6.5
53|1|9.5
53|1|8.5
53|1|12
53|1|11
53|1|11
53|5|11.75
53|5|8.25
53|5|13.5
53|5|8.5
53|5|10
53|6|10
53|6|11
53|6|10
53|6|9
53|6|13
53|6|13
98|3|7
98|3|8.5
98|3|6.5
98|3|7
98|3|6.5
98|3|9
98|3|7.5
98|8|8
98|8|14.5
98|8|12.5
98|4|13.7
98|4|7.3
98|4|14.8
98|4|9.7
98|4|11.9
98|4|13.3
98|4|16.3
98|9|10.75
98|9|13.5
98|9|11.25
98|2|10.1
98|2|10.6
98|2|11.3
98|2|9.3
98|2|9
98|2|8.4
98|2|10.5
98|2|13.3
98|2|9.3
98|7|14
98|7|14.5
98|7|12.5
98|7|15
98|7|15
98|7|14.5
98|7|13
98|10|9.5
98|10|11.25
98|10|8
98|10|6.75
98|10|6.75
98|1|10.5
98|1|7.5
98|1|12
98|1|7
98|1|9
98|1|9
98|1|9
98|1|7
98|5|11.25
98|5|9.25
98|5|11.5
98|5|8.75
98|6|11
98|6|8
98|6|4
98|6|11
98|6|7
115|3|8.5
115|3|11
115|3|10
115|3|10
115|3|9
115|3|9.5
115|8|16
115|8|14
115|4|19.7
115|4|15.8
115|4|15.5
115|4|15.4
115|4|17.1
115|4|11.7
115|4|9.3
115|4|14
115|9|4.75
115|9|13.75
115|9|3
115|2|9.5
115|2|10.6
115|2|14.6
115|2|11
115|2|13
115|2|15.1
115|2|13.2
115|2|11.1
115|2|10.8
115|7|14.5
115|7|13.5
115|7|17.5
115|7|14.5
115|7|14.5
115|7|13
115|7|15.5
115|10|9.25
115|10|8
115|10|_
115|10|12
115|10|12
115|1|6
115|1|13
115|1|9
115|1|8
115|1|6
115|1|11
115|1|14.5
115|1|10
115|5|11.75
115|5|4.75
115|5|4.75
115|5|12
115|5|9.5
115|6|9
115|6|11
115|6|11
115|6|8
115|6|12
115|6|3
136|3|8.5
136|3|10
136|3|9
136|3|8
136|3|9
136|3|8
136|3|9.5
136|8|14
136|8|15.5
136|8|14.5
136|4|19
136|4|18.1
136|4|13.5
136|4|16
136|4|11.9
136|4|13.3
136|4|20
136|4|17.2
136|9|11.5
136|9|10.75
136|9|15.75
136|2|8.3
136|2|16
136|2|12.3
136|2|12.8
136|2|15.2
136|2|12.7
136|2|10.1
136|2|8.7
136|2|12.3
136|7|13.5
136|7|14.5
136|7|15
136|7|13
136|7|14
136|7|14
136|7|13
136|10|8
136|10|8.75
136|10|8
136|10|7.75
136|1|10
136|1|11.5
136|1|8.5
136|1|12
136|1|8
136|1|11
136|1|10
136|1|8
136|5|13.25
136|5|6.75
136|5|5.75
136|5|14
136|5|12.5
136|6|10
136|6|13
136|6|12
136|6|8
136|6|10
136|6|13
149|3|8
149|3|9.5
149|3|6.5
149|3|9
149|3|8
149|3|8
149|3|8
149|8|14.5
149|8|16.5
149|8|18
149|4|_
149|4|_
149|4|13.9
149|4|14.9
149|4|13.5
149|4|14.6
149|4|19.8
149|4|11.9
149|9|13
149|9|19.5
149|9|12.5
149|2|10.2
149|2|12.7
149|2|13.4
149|2|10.3
149|2|9.5
149|2|12.2
149|2|10.1
149|2|7.7
149|2|10.9
149|7|13
149|7|14
149|7|14
149|7|14
149|7|13
149|7|11
149|7|13
149|10|9
149|10|10
149|10|6.25
149|10|7.25
149|10|8.25
149|1|13
149|1|7.5
149|1|13
149|1|10
149|1|12.5
149|1|9
149|1|9.5
149|5|11.75
149|5|11
149|5|13.75
149|5|10
149|5|12.5
149|6|12
149|6|10
149|6|11
149|6|10
149|6|10
149|6|9
192|3|9.5
192|3|10.5
192|3|8
192|3|8.5
192|3|8.5
192|3|7.5
192|3|8.5
192|8|19.5
192|8|16
192|8|19
192|4|13.4
192|4|12.8
192|4|14.1
192|4|13.4
192|4|13.8
192|4|15.1
192|4|14.1
192|9|12.25
192|9|9.75
192|9|6.75
192|2|15.1
192|2|16.1
192|2|16.6
192|2|9
192|2|14.4
192|2|9.9
192|2|_
192|2|8.6
192|2|10.8
192|7|14
192|7|15.5
192|7|15
192|7|_
192|7|16.5
192|7|14
192|7|15
192|10|7.5
192|10|8
192|10|12.5
192|10|7.25
192|10|8.75
192|1|12.5
192|1|8.5
192|1|8
192|1|8
192|1|8.5
192|1|8.5
192|1|7
192|1|9.5
192|5|7.25
192|5|14
192|5|16.75
192|5|6.25
192|6|10
192|6|12
192|6|9
192|6|13
192|6|13
192|6|10
208|3|8
208|3|7
208|3|8.5
208|3|5.5
208|3|11
208|3|9
208|3|8
208|8|14.5
208|8|11.5
208|8|13.5
208|4|14.8
208|4|17
208|4|10.4
208|4|12.9
208|4|15.9
208|4|15.7
208|4|12.9
208|4|13.2
208|9|13
208|9|8.25
208|9|12.5
208|2|9.4
208|2|12.2
208|2|15.2
208|2|13.7
208|2|15.3
208|2|8.6
208|2|9.4
208|2|11.5
208|7|17
208|7|15
208|7|13
208|7|12.5
208|7|15
208|7|14
208|7|16
208|10|9.5
208|10|10.5
208|10|11.25
208|10|8.5
208|1|6
208|1|10.5
208|1|6
208|1|9.5
208|1|9.5
208|1|11
208|1|10
208|1|5
208|5|10.25
208|5|7
208|5|7.5
208|5|10
208|6|2
208|6|5
208|6|10
208|6|12
208|6|12
208|6|7
213|3|8.5
213|3|8
213|3|9
213|3|8
213|3|8.5
213|3|_
213|8|9.5
213|8|13.5
213|4|11.4
213|4|10.8
213|4|12.3
213|4|16.3
213|4|13.6
213|4|16
213|4|11.4
213|4|14.1
213|9|10.75
213|9|2.75
213|9|15.25
213|2|12.5
213|2|8.7
213|2|9.7
213|2|12.2
213|2|12.9
213|2|12.5
213|2|14.6
213|2|10.6
213|2|12.3
213|7|14.5
213|7|13.5
213|7|14
213|7|13.5
213|7|12
213|7|13
213|7|15
213|10|7
213|10|9.25
213|10|10.5
213|10|11.25
213|10|12.25
213|1|10
213|1|10
213|1|7.5
213|1|10.5
213|1|10
213|1|8
213|1|9.5
213|1|9
213|5|6.75
213|5|11.25
213|5|6
213|5|14
213|5|6.75
213|6|8
213|6|10
213|6|11
213|6|4
213|6|12
213|6|10
225|3|8
225|3|9.5
225|3|5
225|3|10
225|3|8.5
225|3|7.5
225|3|10.5
225|8|12
225|8|12
225|8|_
225|4|12.9
225|4|18.2
225|4|14.3
225|4|15.9
225|4|10.1
225|4|17.5
225|4|15.8
225|4|12.6
225|9|18
225|9|13.5
225|9|10
225|2|11.9
225|2|11.2
225|2|7.4
225|2|9.7
225|2|10
225|2|11.2
225|2|11.5
225|2|9.3
225|2|14.3
225|7|13
225|7|14.5
225|7|15
225|7|14
225|7|14
225|7|15
225|10|7.25
225|10|11.5
225|10|11.5
225|10|10.25
225|10|10.25
225|1|8.5
225|1|8
225|1|12.5
225|1|11.5
225|1|8.5
225|1|10.5
225|1|9.5
225|5|5.25
225|5|11.75
225|5|8
225|5|2
225|5|9.25
225|6|14
225|6|7
225|6|12
225|6|7
225|6|9
225|6|10
232|3|10.5
232|3|7.5
232|3|9.5
232|3|5.5
232|3|9.5
232|3|7
232|8|11.5
232|8|17.5
232|8|11.5
232|4|14
232|4|14.5
232|4|20
232|4|19
232|4|17.4
232|4|9.3
232|4|12.7
232|9|7.5
232|9|10
232|9|7.25
232|2|11.7
232|2|13.5
232|2|13.9
232|2|11.7
232|2|9.2
232|2|12.5
232|2|10.1
232|2|14.8
232|2|8.8
232|7|13.5
232|7|14.5
232|7|13.5
232|7|13.5
232|7|13.5
232|7|14
232|7|15
232|10|10.5
232|10|8
232|10|11.25
232|10|11.25
232|10|8.5
232|1|8.5
232|1|9.5
232|1|7.5
232|1|5.5
232|1|11.5
232|1|9.5
232|1|11.5
232|1|12.5
232|5|9.5
232|5|8
232|5|9.25
232|5|5.5
232|5|11.75
232|6|8
232|6|10
232|6|11
232|6|10
232|6|8
232|6|14
245|3|8
245|3|9
245|3|8.5
245|3|11.5
245|3|8.5
245|3|8
245|3|4
245|8|16.5
245|8|12.5
245|8|13
245|4|14.6
245|4|9.3
245|4|13.3
245|4|13.3
245|4|14.8
245|4|13.6
245|4|12.8
245|4|14.5
245|9|5.75
245|9|16.5
245|9|8
245|2|11.5
245|2|14.9
245|2|10
245|2|10.3
245|2|11.4
245|2|11.5
245|2|10.3
245|2|6.8
245|7|13.5
245|7|15
245|7|_
245|7|15
245|7|14
245|7|13.5
245|7|15
245|10|8.75
245|10|7.75
245|10|9.75
245|10|7.5
245|10|7.25
245|1|8
245|1|10
245|1|10.5
245|1|6.5
245|1|8.5
245|1|10.5
245|1|11.5
245|1|11
245|5|15
245|5|7.75
245|5|12.75
245|6|9
245|6|13
245|6|5
245|6|3
245|6|11
245|6|10
248|3|10.5
248|3|7.5
248|3|8
248|3|9.5
248|3|7.5
248|3|9
248|3|9.5
248|8|18
248|8|12.5
248|8|11.5
248|4|18.2
248|4|19.1
248|4|14.2
248|4|13.6
248|4|13.6
248|4|12.1
248|4|12.6
248|4|14.9
248|9|9.5
248|9|10.75
248|9|7.25
248|2|16
248|2|11.4
248|2|12.4
248|2|11.7
248|2|11.5
248|2|14.2
248|2|9.7
248|2|12.6
248|2|15.1
248|7|14
248|7|14
248|7|16.5
248|7|15.5
248|7|15
248|7|14.5
248|7|15.5
248|10|12
248|10|9.5
248|10|9.75
248|10|11
248|10|7
248|1|9.5
248|1|11
248|1|12.5
248|1|11
248|1|9.5
248|1|5.5
248|1|9
248|1|9.5
248|5|8
248|5|10
248|5|5.5
248|5|5
248|5|6.25
248|6|10
248|6|8
248|6|10
248|6|8
248|6|13
248|6|8
262|3|8
262|3|8
262|3|7.5
262|3|8
262|3|8
262|3|9.5
262|3|9.5
262|8|19.5
262|8|16.5
262|4|14.1
262|4|17.1
262|4|18.2
262|4|13.3
262|4|14.3
262|4|17.2
262|4|14.8
262|4|12.3
262|9|10.75
262|9|10.25
262|9|13.25
262|2|10.4
262|2|8.9
262|2|13
262|2|10.8
262|2|11.5
262|2|6.9
262|2|10.3
262|2|11.7
262|7|14.5
262|7|15
262|7|13
262|7|13.5
262|7|14
262|7|12
262|10|9.75
262|10|9.5
262|10|8.5
262|10|8.25
262|10|11.75
262|1|7.5
262|1|10
262|1|11
262|1|8
262|1|9
262|1|8.5
262|1|12.5
262|1|5.5
262|5|10.25
262|5|10.25
262|5|8.5
262|5|13.75
262|5|10
262|6|10
262|6|6
262|6|9
262|6|7
262|6|10
262|6|9
267|3|10
267|3|7.5
267|3|7.5
267|3|8
267|3|8.5
267|3|6.5
267|3|7.5
267|8|13.5
267|8|10.5
267|8|11
267|4|14.3
267|4|15.7
267|4|17.2
267|4|15.3
267|4|18.2
267|4|12.8
267|4|10.9
267|4|16.9
267|9|12.5
267|9|10.75
267|9|9.25
267|2|11
267|2|10
267|2|13.1
267|2|11.9
267|2|10.6
267|2|12.2
267|2|12
267|2|13.8
267|2|10.5
267|7|12
267|7|14
267|7|15
267|7|16
267|7|14.5
267|7|15.5
267|10|11.5
267|10|8.5
267|10|10.5
267|10|13.25
267|10|9.5
267|1|7
267|1|10
267|1|10.5
267|1|9
267|1|8
267|1|11
267|1|10.5
267|1|10
267|5|5.5
267|5|8.25
267|5|5
267|5|6
267|5|9.75
267|6|10
267|6|9
267|6|6
267|6|6
267|6|8
267|6|12
269|3|8.5
269|3|8.5
269|3|10
269|3|8.5
269|3|10
269|3|10
269|3|8
269|8|13
269|8|7.5
269|8|16
269|4|14.4
269|4|16.3
269|4|12.6
269|4|16.1
269|4|17.4
269|4|15.9
269|4|14.6
269|4|17.2
269|9|14.25
269|9|9.5
269|9|10.5
269|2|11.4
269|2|12.5
269|2|13.7
269|2|6.8
269|2|13.4
269|2|12.2
269|2|13.5
269|2|10
269|7|14.5
269|7|12.5
269|7|_
269|7|13
269|7|16
269|7|15.5
269|7|16.5
269|10|10
269|10|5.5
269|10|10.25
269|10|9.5
269|10|10.25
269|1|8.5
269|1|8.5
269|1|6
269|1|8.5
269|1|11
269|1|6
269|1|8
269|5|5.75
269|5|9.25
269|5|7
269|5|5.5
269|5|8.75
269|6|9
